resume_text,job_description,match_score,matched_skills,missing_skills,fit_category
"Aarav is a ML Engineer professional based in Noida with 0 years of experience. Education: M.Sc. in Data Science. Skills include FastAPI, Git, SQL, TensorFlow, Scikit-learn, AWS, PyTorch. Experience includes monitor model performance, prepare training data.","We are hiring a ML Engineer. Required skills: PyTorch, Docker, FastAPI, SQL, TensorFlow, Git, AWS, Machine Learning. Responsibilities include deploy models as APIs, monitor model performance, prepare training data. The role requires approximately 4+ years of relevant experience.",60,"PyTorch, FastAPI, SQL, TensorFlow, Git, AWS","Docker, Machine Learning",Potential Fit
"Meera is a Python Developer professional based in Kochi with 6 years of experience. Education: M.Tech in Artificial Intelligence. Skills include SQL, Docker, FastAPI, Unit Testing, PostgreSQL. Experience includes integrate databases, write Python code.","We are hiring a Python Developer. Required skills: FastAPI, Flask, Docker, Unit Testing, Git, Python, PostgreSQL. Responsibilities include write Python code, develop backend services, design REST APIs. The role requires approximately 5+ years of relevant experience.",61,"FastAPI, Docker, Unit Testing, PostgreSQL","Flask, Git, Python",Potential Fit
"Ananya is a Full Stack Developer professional based in Delhi with 2 years of experience. Education: B.Tech in Computer Science. Skills include SQL, React. Experience includes build responsive web applications, develop frontend components.","We are hiring a Full Stack Developer. Required skills: JavaScript, Docker, SQL, Git, CSS, HTML, Node.js. Responsibilities include create backend APIs, integrate databases, develop frontend components. The role requires approximately 5+ years of relevant experience.",17,SQL,"JavaScript, Docker, Git, CSS, HTML, Node.js",No Fit
"Sanjay is a Data Scientist professional based in Chennai with 4 years of experience. Education: MCA. Skills include Machine Learning, SQL, Pandas, NumPy, Power BI. Experience includes perform statistical analysis, create data visualizations.","We are hiring a Data Scientist. Required skills: Machine Learning, Pandas, Statistics, NumPy, Power BI, SQL, Matplotlib, Scikit-learn. Responsibilities include create data visualizations, clean and analyze datasets, perform statistical analysis. The role requires approximately 2+ years of relevant experience.",73,"Machine Learning, Pandas, NumPy, Power BI, SQL","Statistics, Matplotlib, Scikit-learn",Potential Fit
"Kiran is a Cloud Engineer professional based in Noida with 8 years of experience. Education: B.Tech in Computer Science. Skills include Terraform, Linux, Kubernetes, AWS. Experience includes automate deployments, manage cloud infrastructure.","We are hiring a Cloud Engineer. Required skills: Git, Linux, Python, Azure, Terraform, AWS, Networking, Kubernetes. Responsibilities include manage cloud infrastructure, monitor systems, configure containerized services. The role requires approximately 1+ years of relevant experience.",61,"Linux, Terraform, AWS, Kubernetes","Git, Python, Azure, Networking",Potential Fit
"Kavya is a ML Engineer professional based in Pune with 6 years of experience. Education: B.Sc. in Computer Science. Skills include SQL, Scikit-learn, Docker, PyTorch. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Docker, Machine Learning, Scikit-learn, AWS, SQL. Responsibilities include develop machine learning pipelines, monitor model performance, prepare training data. The role requires approximately 3+ years of relevant experience.",65,"Docker, Scikit-learn, SQL","Machine Learning, AWS",Potential Fit
"Aditya is a Data Analyst professional based in Mumbai with 6 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Python, Tableau, Statistics, Power BI, SQL, Pandas, Data Visualization. Experience includes analyze business data, write SQL queries.","We are hiring a Data Analyst. Required skills: SQL, Excel, Data Visualization, Statistics, Python, Power BI, Pandas. Responsibilities include analyze business data, write SQL queries, identify trends. The role requires approximately 1+ years of relevant experience.",87,"SQL, Data Visualization, Statistics, Python, Power BI, Pandas",Excel,Good Fit
"Ananya is a Data Scientist professional based in Mumbai with 3 years of experience. Education: B.Tech in Computer Science. Skills include Matplotlib, Scikit-learn, TensorFlow, Power BI. Experience includes build predictive models, perform statistical analysis.","We are hiring a Data Scientist. Required skills: Python, Matplotlib, Pandas, SQL, Statistics. Responsibilities include clean and analyze datasets, create data visualizations, perform statistical analysis. The role requires approximately 0+ years of relevant experience.",31,Matplotlib,"Python, Pandas, SQL, Statistics",No Fit
"Sneha is a ML Engineer professional based in Mumbai with 4 years of experience. Education: M.Sc. in Data Science. Skills include Python, Git, AWS, PyTorch, Docker, Scikit-learn, SQL, TensorFlow, FastAPI. Experience includes deploy models as APIs, develop machine learning pipelines.","We are hiring a ML Engineer. Required skills: FastAPI, SQL, Docker, Scikit-learn, Git, TensorFlow, AWS, Machine Learning. Responsibilities include prepare training data, monitor model performance, deploy models as APIs. The role requires approximately 4+ years of relevant experience.",92,"FastAPI, SQL, Docker, Scikit-learn, Git, TensorFlow, AWS",Machine Learning,Good Fit
"Rohit is a Backend Developer professional based in Hyderabad with 6 years of experience. Education: B.E. in Information Technology. Skills include Git, Redis, Unit Testing, Docker, PostgreSQL, Java. Experience includes design APIs, develop scalable backend services.","We are hiring a Backend Developer. Required skills: Spring Boot, REST API, Git, Python, Java, SQL, Unit Testing, Redis. Responsibilities include optimize database queries, develop scalable backend services, implement authentication. The role requires approximately 4+ years of relevant experience.",56,"Git, Java, Unit Testing, Redis","Spring Boot, REST API, Python, SQL",Potential Fit
